id,geo_name,est_median_rent,moe_median_rent
8600000US00985,ZCTA5_00985,433.00,72.00
8600000US00987,ZCTA5_00987,594.00,72.00
8600000US01001,ZCTA5_01001,1068.00,61.00
8600000US01002,ZCTA5_01002,1159.00,105.00
8600000US01003,ZCTA5_01003,,
8600000US01005,ZCTA5_01005,714.00,62.00
8600000US01007,ZCTA5_01007,867.00,57.00
8600000US01008,ZCTA5_01008,,
8600000US01009,ZCTA5_01009,,
8600000US01010,ZCTA5_01010,721.00,144.00
8600000US01011,ZCTA5_01011,788.00,38.00
8600000US01012,ZCTA5_01012,907.00,97.00
8600000US01013,ZCTA5_01013,771.00,33.00
8600000US01020,ZCTA5_01020,857.00,33.00
8600000US01022,ZCTA5_01022,1520.00,517.00
8600000US01026,ZCTA5_01026,786.00,185.00
8600000US01027,ZCTA5_01027,876.00,55.00
8600000US01028,ZCTA5_01028,850.00,297.00
8600000US01029,ZCTA5_01029,1603.00,1296.00
8600000US01030,ZCTA5_01030,860.00,177.00
8600000US01031,ZCTA5_01031,785.00,47.00
8600000US01032,ZCTA5_01032,850.00,168.00
8600000US01033,ZCTA5_01033,741.00,286.00
8600000US01034,ZCTA5_01034,1279.00,200.00
8600000US01035,ZCTA5_01035,1123.00,128.00
8600000US01036,ZCTA5_01036,908.00,829.00
8600000US01037,ZCTA5_01037,,
8600000US01038,ZCTA5_01038,971.00,324.00
8600000US01039,ZCTA5_01039,1250.00,265.00
8600000US01040,ZCTA5_01040,760.00,18.00
8600000US01050,ZCTA5_01050,804.00,178.00
8600000US01053,ZCTA5_01053,995.00,607.00
8600000US01054,ZCTA5_01054,1420.00,167.00
8600000US01056,ZCTA5_01056,825.00,61.00
8600000US01057,ZCTA5_01057,729.00,68.00
8600000US01060,ZCTA5_01060,1135.00,57.00
8600000US01062,ZCTA5_01062,882.00,100.00
8600000US01063,ZCTA5_01063,,
8600000US01066,ZCTA5_01066,,
8600000US01068,ZCTA5_01068,950.00,106.00
8600000US01069,ZCTA5_01069,763.00,147.00
8600000US01070,ZCTA5_01070,631.00,79.00
8600000US01071,ZCTA5_01071,782.00,27.00
8600000US01072,ZCTA5_01072,1139.00,160.00
8600000US01073,ZCTA5_01073,731.00,689.00
8600000US01074,ZCTA5_01074,,
8600000US01075,ZCTA5_01075,846.00,56.00
8600000US01077,ZCTA5_01077,844.00,106.00
8600000US01079,ZCTA5_01079,,
8600000US01080,ZCTA5_01080,840.00,44.00
8600000US01081,ZCTA5_01081,706.00,244.00
8600000US01082,ZCTA5_01082,722.00,99.00
8600000US01083,ZCTA5_01083,642.00,190.00
8600000US01084,ZCTA5_01084,950.00,565.00
8600000US01085,ZCTA5_01085,836.00,28.00
8600000US01086,ZCTA5_01086,,
